ensembl	symbol	datatype	CCRCC.val	CCRCC.pval	COAD.val	COAD.pval	HNSCC.val	HNSCC.pval	LSCC.val	LSCC.pval	LUAD.val	LUAD.pval	OV.val	OV.pval	PDAC.val	PDAC.pval	UCEC.val	UCEC.pval	metap
ENSG00000149196	HIKESHI	protein	 3.4e-01	 1.3e-10	-4.2e-01	-2.5e-09	 5.5e-02	 1.8e-01	 8.8e-02	 4.8e-03	-2.9e-01	-4.6e-13	-2.4e-02	-7.2e-01	 3.3e-01	 5.6e-05	-2.3e-01	-3.3e-04	 -3.7e-01
ENSG00000135245	HILPDA	protein	 2.5e+00	 1.2e-13	NA	NA	NA	NA	 1.5e+00	 6.9e-13	NA	NA	NA	NA	NA	NA	NA	NA	  5.5e-25
ENSG00000172273	HINFP	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000169567	HINT1	protein	 3.3e-01	 1.8e-17	-5.0e-01	-3.1e-11	-3.8e-01	-1.5e-12	-2.4e-01	-5.4e-14	-1.2e-01	-3.4e-07	-2.1e-01	-3.5e-02	-9.6e-02	-2.1e-02	 5.2e-03	 9.4e-01	 -1.9e-15
ENSG00000137133	HINT2	protein	-1.2e+00	-3.0e-26	-4.0e-01	-5.6e-08	-7.0e-01	-1.4e-15	-1.6e-01	-1.3e-03	-5.0e-02	-1.5e-01	 2.8e-01	 2.2e-02	-1.1e-01	-3.4e-01	 2.0e-02	 7.3e-01	 -1.3e-21
ENSG00000111911	HINT3	protein	-3.3e-01	-9.6e-18	-2.0e-01	-1.8e-07	-4.3e-01	-8.0e-14	-6.6e-01	-8.5e-34	-2.4e-01	-4.3e-11	-1.9e-01	-6.2e-02	-6.5e-02	-4.1e-01	 2.6e-01	 2.2e-04	 -3.4e-43
ENSG00000127946	HIP1	protein	-9.4e-02	-6.0e-03	 1.3e-01	 2.3e-04	 2.5e-01	 1.4e-09	-8.4e-01	-7.8e-35	-3.6e-01	-6.7e-16	 4.8e-02	 5.1e-01	 6.9e-01	 6.9e-17	-1.1e-02	-8.2e-01	 -8.6e-01
ENSG00000130787	HIP1R	protein	-6.3e-01	-2.7e-27	 1.8e-01	 3.7e-05	 2.6e-01	 3.9e-05	 2.7e-01	 1.3e-11	 3.7e-01	 2.5e-16	-8.7e-02	-5.1e-01	-3.3e-01	-1.1e-06	 4.9e-01	 2.8e-05	  1.4e-06
ENSG00000163349	HIPK1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.0e-01	-6.3e-04	NA	NA	 -6.3e-04
ENSG00000064393	HIPK2	protein	NA	NA	NA	NA	NA	NA	 2.1e-01	 3.8e-02	 4.3e-01	 1.2e-02	NA	NA	-4.8e-01	-2.5e-02	NA	NA	  1.7e-01
ENSG00000110422	HIPK3	protein	NA	NA	NA	NA	NA	NA	-2.9e-01	-1.1e-01	NA	NA	NA	NA	NA	NA	NA	NA	 -1.1e-01
ENSG00000160396	HIPK4	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100084	HIRA	protein	 1.1e-01	 3.0e-06	 1.8e-01	 2.6e-02	 1.3e-01	 1.4e-03	 1.8e-01	 6.7e-15	 9.4e-02	 1.3e-05	 2.0e-01	 8.5e-03	-1.5e-01	-1.5e-03	 7.0e-02	 9.5e-02	  1.5e-16
ENSG00000149929	HIRIP3	protein	 2.0e-01	 1.1e-08	-2.7e-02	-6.9e-01	 1.4e-01	 4.6e-03	 1.2e-01	 9.3e-04	 9.8e-03	 8.1e-01	-1.0e-01	-2.6e-01	-3.0e-01	-1.4e-04	-2.1e-02	-8.0e-01	 -2.1e-02
ENSG00000095951	HIVEP1	protein	NA	NA	NA	NA	 1.7e-02	 9.6e-01	 4.6e-01	 1.6e-17	 4.0e-01	 1.5e-09	NA	NA	 4.3e-01	 3.9e-02	 7.1e-02	 2.9e-01	  2.1e-15
ENSG00000010818	HIVEP2	protein	 7.5e-02	 5.7e-01	NA	NA	-3.3e-01	-4.3e-04	 2.4e-01	 4.5e-07	-1.4e-02	-7.8e-01	-3.5e-01	-1.8e-02	-1.3e-01	-2.0e-01	 5.4e-01	 1.5e-04	  4.6e-01
ENSG00000127124	HIVEP3	protein	NA	NA	NA	NA	-1.7e-01	-2.2e-01	 1.4e-02	 8.9e-01	-1.4e-01	-1.3e-01	NA	NA	 1.9e-01	 2.5e-01	NA	NA	  4.7e-01
